;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;08.07.2018;08.07.2018;30.06.2018;30.06.2018;30.04.2018;20.03.2019;16.03.2020;10.03.2021;24.03.2022;23.03.2023;25.03.2024;24.03.2025;25.03.2026;27.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Установленная мощность, ГВт;;;;;17.7;;;;;;;;;
Отпуск э/э потребителям из сети, млрд кВт*ч;;;;;16.2;;;;;;;;;
Протяженность ЛЭП, тыс.км;;;;;133.1;;;;;;;;;
Выручка, млрд руб;14.6;14.8;16.1;17.9;18.4;19.8;21.3;27.7;34.6;41.3;48.5;54.4;73.6;63.3
Операционная прибыль, млрд руб;;;;;-5.62;-6.62;-18.9;-11.9;-19.7;2.65;-11.6;-17.6;-12.1;-16.5
EBITDA, млрд руб;0.408;-6.92;7.22;-2.67;-4.10;-4.49;-10.9;-8.57;-14.0;4.66;-4.46;-9.55;-6.43;-8.75
Чистая прибыль, млрд руб;-1.34;-8.39;6.14;-5.15;-6.21;-7.83;-17.5;-11.5;-27.9;0.680;-11.1;-15.7;-10.9;-15.0
Операционный денежный поток, млрд руб;;;;;-2.04;-0.770;-0.900;-4.55;0.141;-18.5;-20.0;-9.82;-8.96;-11.8
CAPEX, млрд руб;;;1.27;0.912;0.942;0.856;2.44;2.17;3.43;3.28;3.82;6.24;6.79;6.66
FCF, млрд руб;;;;;-2.93;-1.55;-3.36;-6.90;-3.41;-22.2;-23.6;-14.6;-14.8;-17.0
Див доход, ао, %;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
Дивиденды/прибыль, %;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
Опер. расходы, млрд руб;15.6;23.3;24.3;22.3;24.0;27.2;27.3;32.5;42.2;51.1;55.7;64.6;81.3;74.0
Амортизация, млрд руб;;;1.5;1.5;1.5;1.4;1.7;1.4;1.5;1.2;1.4;1.5;1.5;1.4
Расх на персонал, млрд руб;;;6.06;6.56;6.87;6.97;7.59;8.70;10.0;11.1;12.8;14.4;16.1;15.1
Процентные расходы, млрд руб;;;0.779;0.892;1.06;0.823;0.456;0.064;0.233;0.670;3.00;0.185;0.118;0.049
Активы, млрд руб;;;24.9;25.7;25.1;27.6;21.4;28.1;17.8;23.0;27.2;30.5;36.3;29.4
Чистые активы, млрд руб;8.73;0.185;6.33;2.83;-1.05;-0.814;-17.1;-25.1;-46.7;-24.9;-0.260;-1.97;0.948;-4.70
Долг, млрд руб;6.57;6.57;10.8;11.8;9.32;4.58;6.28;11.2;9.15;13.4;3.53;3.44;3.50;7.19
Наличность, млрд руб;1.98;1.86;1.61;2.93;1.16;3.20;1.34;1.25;2.65;7.27;7.09;6.33;5.40;2.52
Чистый долг, млрд руб;4.60;4.72;9.19;8.86;8.16;1.38;4.95;9.90;6.50;6.13;-3.56;-2.89;-1.90;4.66
Цена акции ао, руб;;;12.5;22.1;19.2;14.0;30.0;28.8;27.3;11.8;24.3;16.1;16.2;19.0
Число акций ао, млн;154.6;154.6;154.6;154.6;389.2;851.5;889.3;999.4;1 185;1 828;4 067;5 078;6 069;5 226
Free Float, %;;;;;;;;1.24%;;;;;;
Капитализация, млрд руб;0.00;0.00;1.93;3.41;7.47;11.9;26.7;28.8;32.3;21.6;98.9;82.0;98.6;99.3
EV, млрд руб;4.60;4.72;11.1;12.3;15.6;13.3;31.6;38.7;38.8;27.7;95.3;79.1;96.7;104.0
Баланс стоимость, млрд руб;8.73;0.19;6.23;2.73;-1.16;-0.93;-17.3;-25.2;-46.8;-25.2;-0.57;-2.22;0.72;-4.94
EPS, руб;-8.68;-54.3;39.8;-33.3;-16.0;-9.20;-19.7;-11.5;-23.5;0.37;-2.72;-3.10;-1.80;-2.86
FCF/акцию, руб;0.00;0.00;0.00;0.00;-7.53;-1.82;-3.78;-6.90;-2.88;-12.2;-5.80;-2.88;-2.45;-3.26
BV/акцию, руб;56.5;1.20;40.3;17.7;-2.98;-1.09;-19.4;-25.3;-39.5;-13.8;-0.14;-0.44;0.12;-0.94
Рентаб EBITDA, %;2.8%;-46.9%;44.9%;-14.9%;-22.3%;-22.7%;-51.2%;-30.9%;-40.5%;11.3%;-9.2%;-17.6%;-8.7%;-13.8%
Чистая рентаб, %;-9.2%;-56.8%;38.2%;-28.7%;-33.8%;-39.6%;-82.2%;-41.5%;-80.6%;1.6%;-22.8%;-28.9%;-14.9%;-23.6%
Доходность FCF, %;;;0.0%;0.0%;-39.2%;-13.0%;-12.6%;-23.9%;-10.5%;-102.9%;-23.8%;-17.9%;-15.1%;-17.1%
ROE, %;-15.4%;-4 533.0%;97.1%;-182.1%;593.5%;962.2%;102.0%;45.8%;59.8%;-2.7%;4 257.7%;797.3%;-1 154.0%;318.1%
ROA, %;;;24.7%;-20.0%;-24.8%;-28.3%;-81.7%;-40.9%;-156.8%;3.0%;-40.7%;-51.6%;-30.1%;-50.9%
P/E;0.00;0.00;0.31;-0.66;-1.20;-1.52;-1.53;-2.51;-1.16;31.8;-8.93;-5.21;-9.01;-6.64
P/FCF;;;;;-2.55;-7.69;-7.94;-4.18;-9.48;-0.97;-4.20;-5.60;-6.64;-5.83
P/S;0.00;0.00;0.12;0.19;0.41;0.60;1.25;1.04;0.94;0.52;2.04;1.51;1.34;1.57
P/BV;0.00;0.00;0.31;1.25;-6.44;-12.8;-1.55;-1.14;-0.69;-0.86;-173.5;-36.9;136.7;-20.1
EV/EBITDA;11.3;-0.68;1.54;-4.60;-3.81;-2.96;-2.90;-4.52;-2.77;5.95;-21.4;-8.28;-15.0;-11.9
Долг/EBITDA;11.3;-0.68;1.27;-3.32;-1.99;-0.31;-0.45;-1.16;-0.46;1.32;0.80;0.30;0.29;-0.53
Персонал, чел;;;;;8 867;8 476;8 458;11 244;;;;;;
Производительность труда, млн руб/чел/год;;;;;2.07;2.33;2.52;2.46;;;;;;
Расходы/чел/год, тыс.р;;;;;775.1;822.7;897.6;773.7;;;;;;
R&D/CAPEX, %;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
Цена/мощность, руб/кВт;;;;;881.9;;;;;;;;;
CAPEX/Выручка, %;0%;0%;8%;5%;5%;4%;11%;8%;10%;8%;8%;11%;9%;11%
