;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";10.07.2018;10.07.2018;10.07.2018;10.07.2018;10.07.2018;06.05.2020;06.05.2020;29.06.2021;29.04.2022;27.04.2024;27.04.2024;30.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";27.3;29.3;30.7;33.9;37.8;39.7;41.3;41.1;44.9;45.3;44.2;47.0;49.1
"Операционная прибыль, млрд руб";;;;;-0.577;2.51;0.165;-4.99;1.12;-1.92;-3.34;1.29;0.661
"EBITDA, млрд руб";0.026;0.905;1.34;0.044;-0.577;2.51;0.650;-4.99;1.12;;-3.30;1.37;0.754
"Чистая прибыль, млрд руб";-0.061;0.644;0.687;-0.246;-0.919;0.840;-0.600;-3.87;0.475;-2.55;-3.21;0.378;-0.182
"Операционный денежный поток, млрд руб";;;;;-2.06;-1.46;-1.38;-0.933;-0.654;-0.200;-2.10;-1.11;1.03
"CAPEX, млрд руб";;;;;0.066;0.187;0.075;0.092;0.102;0.020;0.163;0.209;0.278
"FCF, млрд руб";;;;;-2.07;-1.37;-1.42;-0.922;-0.707;-0.110;-2.22;-1.33;0.867
"Див доход, ао, %";;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
"Див доход, ап, %";;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";30.5;32.4;33.8;38.1;38.4;37.2;41.1;46.0;43.8;;;;
"Себестоимость, млрд руб";;;;;;;;;;48.0;47.7;50.7;53.0
"Амортизация, млрд руб";;;;;;;;;;;0.0;0.1;0.1
"Расх на персонал, млрд руб";;;;;0.770;0.756;0.802;0.734;0.700;;0.855;1.03;1.10
"Процентные расходы, млрд руб";;;;;0.678;1.27;0.800;0.600;0.623;;0.850;1.07;0.731
"Активы, млрд руб";;;;;;16.6;19.0;19.2;19.5;17.3;17.0;16.1;15.5
"Чистые активы, млрд руб";-0.540;0.072;0.744;0.002;-0.918;-2.25;-4.23;-8.00;-7.00;-9.77;-10.4;-5.63;-5.38
"Долг, млрд руб";2.35;3.97;3.28;3.50;4.56;5.20;4.56;5.04;4.52;4.55;6.00;1.92;1.50
"Наличность, млрд руб";0.075;0.942;0.133;0.352;0.141;0.076;0.051;1.04;0.227;0.310;0.200;0.410;0.498
"Чистый долг, млрд руб";2.28;3.03;3.15;3.15;4.42;5.12;4.51;4.00;4.29;4.24;5.80;1.51;1.00
"Цена акции ао, руб";;;;"1 035";"1 400";"1 020";"1 485";"2 500";"2 125";"1 725";"4 590";"3 430";"4 340"
"Число акций ао, млн";3.92;3.92;3.92;3.92;3.92;3.92;3.92;3.92;3.92;3.92;3.92;3.92;3.92
"Цена акции ап, руб";;;;750.0;625.0;364.0;564.0;690.0;833.0;546.0;"1 548";"1 130";"1 460"
"Число акций ап, млн";1.06;1.06;1.06;1.06;1.06;1.06;1.06;1.06;1.06;1.06;1.06;1.06;1.06
"Капитализация, млрд руб";0.00;0.00;0.00;4.85;6.15;4.38;6.42;10.5;9.21;7.34;19.6;14.6;18.6
"EV, млрд руб";2.28;3.03;3.15;8.00;10.6;9.51;10.9;14.5;13.5;11.6;25.4;16.2;19.6
"Баланс стоимость, млрд руб";-0.54;0.07;0.74;0.00;-0.92;-2.25;-4.23;-8.00;-7.00;-9.77;-10.4;-5.64;-5.38
"EPS, руб";-15.6;164.3;175.3;-62.8;-234.5;214.3;-153.1;-987.4;121.2;-650.6;-819.0;96.4;-46.4
"FCF/акцию, руб";0.00;0.00;0.00;0.00;-528.1;-349.5;-362.3;-235.2;-180.4;-28.1;-566.4;-339.1;221.2
"BV/акцию, руб";-137.8;18.4;189.8;0.51;-234.2;-574.1;"-1 079";"-2 041";"-1 786";"-2 493";"-2 653";"-1 440";"-1 373"
"Рентаб EBITDA, %";0.1%;3.1%;4.4%;0.1%;-1.5%;6.3%;1.6%;-12.2%;2.5%;0.0%;-7.5%;2.9%;1.5%
"Чистая рентаб, %";-0.2%;2.2%;2.2%;-0.7%;-2.4%;2.1%;-1.5%;-9.4%;1.1%;-5.6%;-7.3%;0.8%;-0.4%
"Доходность FCF, %";;;;0.0%;-37.7%;-34.3%;-24.4%;-9.4%;-8.5%;-1.6%;-12.3%;-9.9%;5.1%
"ROE, %";11.3%;894.4%;92.3%;"-12 300.0%";100.1%;-37.3%;14.2%;48.4%;-6.8%;26.1%;30.9%;-6.7%;3.4%
"ROA, %";;;;;;5.1%;-3.2%;-20.1%;2.4%;-14.7%;-18.9%;2.4%;-1.2%
P/E;0.00;0.00;0.00;-19.7;-6.69;5.22;-10.7;-2.72;19.4;-2.88;-6.12;38.7;-102.0
P/FCF;;;;;-2.97;-3.20;-4.52;-11.4;-13.0;-66.7;-8.85;-11.0;21.4
P/S;0.00;0.00;0.00;0.14;0.16;0.11;0.16;0.26;0.21;0.16;0.44;0.31;0.38
P/BV;0.00;0.00;0.00;"2 427";-6.70;-1.95;-1.52;-1.32;-1.32;-0.75;-1.89;-2.60;-3.45
EV/EBITDA;87.6;3.34;2.35;181.8;-18.3;3.79;16.8;-2.91;12.1;;-7.70;11.8;25.9
Долг/EBITDA;87.6;3.34;2.35;71.5;-7.66;2.04;6.94;-0.80;3.83;;-1.76;1.10;1.33
"Персонал, чел";;;;;;;;;;;;911;
"Производительность труда, млн руб/чел/год";;;;;;;;;;;;51.6;
"Расходы/чел/год, тыс.р";;;;;;;;;;;;"1 127";
"R&D/CAPEX, %";;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;1%
