;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";09.07.2018;09.07.2018;09.07.2018;23.04.2018;23.04.2018;29.04.2019;24.07.2020;30.04.2021;28.04.2022;17.04.2023;27.04.2024;30.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";9.65;8.78;7.68;7.21;6.96;7.65;7.73;3.93;6.21;6.28;7.17;7.77;7.72
"Операционная прибыль, млрд руб";;;;0.455;0.315;0.167;0.520;-0.203;1.06;1.47;1.09;1.31;1.27
"EBITDA, млрд руб";0.395;0.233;0.259;0.718;0.404;0.419;2.55;1.79;2.37;2.73;2.28;2.68;2.69
"Чистая прибыль, млрд руб";-0.462;-0.201;-0.393;0.006;-0.002;-0.083;-0.440;-1.83;0.094;0.327;0.112;0.001;-0.419
"Операционный денежный поток, млрд руб";;;;-0.100;-0.416;0.382;1.88;0.012;0.516;1.10;1.07;0.983;0.948
"CAPEX, млрд руб";;;;0.333;0.293;1.22;1.000;0.192;0.254;0.139;0.210;0.530;0.619
"FCF, млрд руб";;;;-0.401;-0.696;-0.832;-0.394;-0.305;-0.337;0.118;-0.200;-0.613;-0.664
"Див доход, ао, %";;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";;;;0.606;0.858;1.11;0.991;;0.933;0.867;0.710;0.751;0.689
"Себестоимость, млрд руб";7.94;7.78;6.64;6.15;5.79;6.38;6.22;4.29;4.81;4.65;5.36;6.00;6.07
"Амортизация, млрд руб";;;;;;;;;;1.3;1.2;1.4;1.4
"Расх на персонал, млрд руб";;;;1.54;1.43;1.45;1.61;1.33;1.79;1.84;1.95;2.05;2.01
"Процентные расходы, млрд руб";;;;0.324;0.311;0.349;1.25;0.890;1.09;0.990;0.850;1.31;1.61
"Активы, млрд руб";;;;2.87;3.59;4.78;11.0;9.67;9.06;6.72;7.51;9.36;9.03
"Чистые активы, млрд руб";0.240;-0.199;-0.755;0.725;-0.745;-0.847;-1.28;-3.10;-3.00;-2.69;-2.53;-2.53;-3.14
"Долг, млрд руб";1.55;1.94;1.94;3.29;3.84;3.94;4.29;4.59;4.91;4.74;4.68;5.09;5.34
"Наличность, млрд руб";0.096;0.071;0.102;0.113;0.152;0.148;0.150;0.074;0.330;0.158;0.410;0.195;0.072
"Чистый долг, млрд руб";1.46;1.87;1.83;3.17;3.68;3.79;4.14;4.52;4.58;4.59;4.27;4.90;5.26
"Цена акции ао, руб";;;;70.5;74.7;72.0;64.0;64.0;69.0;58.2;145.4;122.6;105.2
"Число акций ао, млн";16.3;16.3;16.3;16.3;16.3;16.3;16.3;16.3;16.3;16.3;16.3;16.3;16.3
"Капитализация, млрд руб";0.00;0.00;0.00;1.15;1.22;1.17;1.04;1.04;1.13;0.95;2.37;2.00;1.72
"EV, млрд руб";1.46;1.87;1.83;4.32;4.90;4.96;5.18;5.56;5.71;5.53;6.64;6.90;6.98
"Баланс стоимость, млрд руб";0.24;-0.20;-0.76;0.53;-0.97;-1.47;-1.99;-3.73;-3.56;-3.19;-3.01;-2.94;-3.52
"EPS, руб";-28.3;-12.3;-24.1;0.37;-0.12;-5.09;-27.0;-112.2;5.76;20.1;6.87;0.06;-25.7
"FCF/акцию, руб";0.00;0.00;0.00;-24.6;-42.7;-51.0;-24.2;-18.7;-20.7;7.24;-12.3;-37.6;-40.7
"BV/акцию, руб";14.7;-12.2;-46.3;32.7;-59.7;-90.2;-122.0;-228.9;-218.3;-195.6;-184.8;-180.3;-215.7
"Рентаб EBITDA, %";4.1%;2.7%;3.4%;10.0%;5.8%;5.5%;33.0%;45.5%;38.2%;43.5%;31.8%;34.5%;34.9%
"Чистая рентаб, %";-4.8%;-2.3%;-5.1%;0.1%;0.0%;-1.1%;-5.7%;-46.6%;1.5%;5.2%;1.6%;0.0%;-5.4%
"Доходность FCF, %";;;;-34.9%;-57.1%;-70.9%;-37.8%;-29.2%;-30.0%;12.4%;-8.4%;-30.7%;-38.7%
"ROE, %";-192.5%;101.0%;52.1%;0.8%;0.3%;9.8%;34.4%;59.0%;-3.1%;-12.2%;-4.4%;0.0%;13.3%
"ROA, %";;;;0.2%;-0.1%;-1.7%;-4.0%;-18.9%;1.0%;4.9%;1.5%;0.0%;-4.6%
P/E;0.00;0.00;0.00;191.6;-609.0;-14.1;-2.37;-0.57;12.0;2.90;21.2;"1 999";-4.09
P/FCF;;;;-2.87;-1.75;-1.41;-2.65;-3.42;-3.34;8.04;-11.9;-3.26;-2.58
P/S;0.00;0.00;0.00;0.16;0.17;0.15;0.13;0.27;0.18;0.15;0.33;0.26;0.22
P/BV;0.00;0.00;0.00;2.16;-1.25;-0.80;-0.52;-0.28;-0.32;-0.30;-0.79;-0.68;-0.49
EV/EBITDA;3.69;8.00;7.08;6.02;12.1;11.8;2.03;3.11;2.41;2.03;2.91;2.57;2.59
Долг/EBITDA;3.69;8.00;7.08;4.42;9.12;9.04;1.62;2.52;1.93;1.68;1.87;1.83;1.96
"R&D/CAPEX, %";;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";0%;0%;0%;5%;4%;16%;13%;5%;4%;2%;3%;7%;8%
"Качество фин.отчетности";;;;;;;;;;3;3;3;3
"Презентации для инвесторов";;;;;;;;;;1;1;1;1
"Присутствие на смартлабе";;;;;;;;;;1;1;1;1
"Годовой отчет";;;;;;;;;;1;1;1;1
"Сайт для инвесторов";;;;;;;;;;2;2;2;2
