;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;29.04.2022;29.04.2021;29.04.2021;29.04.2022;16.04.2024;16.04.2024;07.04.2025;10.04.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;21.3;20.3;16.9;28.0;33.0;32.4;33.4;28.8;32.2
Операционная прибыль, млрд руб;;-0.580;3.56;-0.513;2.57;4.20;4.92;4.59;1.95;3.82
EBITDA, млрд руб;;0.625;3.93;0.000;3.10;4.50;5.19;4.33;2.23;3.57
Чистая прибыль, млрд руб;;-1.46;3.56;-1.85;2.56;3.00;3.53;3.02;1.19;2.36
Операционный денежный поток, млрд руб;;1.66;2.82;1.48;-1.52;2.39;-0.700;1.26;-2.59;-2.35
CAPEX, млрд руб;;0.078;0.067;0.049;0.166;0.330;0.400;0.211;0.143;0.169
FCF, млрд руб;;0.990;2.55;1.37;-1.70;2.13;-0.980;1.04;-3.26;-2.76
Див доход, ао, %;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
Див доход, ап, %;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
Дивиденды/прибыль, %;;0%;0%;0%;0%;0%;0%;0%;0%;0
Опер. расходы, млрд руб;;2.37;1.64;3.12;2.57;2.78;3.00;2.95;2.86;2.74
Себестоимость, млрд руб;;19.5;17.7;15.6;22.8;26.0;24.5;25.8;23.9;25.7
Амортизация, млрд руб;;;;;;0.3;0.3;0.3;0.3;0.3
Расх на персонал, млрд руб;;0.320;0.299;0.336;0.395;;;;0.544;
Процентные расходы, млрд руб;;0.592;0.210;0.057;0.013;0.013;0.009;0.006;0.749;0.356
Активы, млрд руб;7.73;6.74;8.30;8.45;12.7;14.2;17.3;20.6;22.9;23.7
Чистые активы, млрд руб;-6.34;-7.79;-4.20;-6.10;-3.50;-0.490;4.30;6.83;8.95;8.60
Долг, млрд руб;8.92;8.30;5.65;5.20;6.93;7.30;6.20;6.12;8.22;7.97
Наличность, млрд руб;0.107;0.053;0.079;0.051;0.085;2.43;0.360;0.065;0.112;0.098
Чистый долг, млрд руб;8.81;8.25;5.57;5.15;6.85;4.87;5.84;6.05;8.11;7.87
Цена акции ао, руб;710.0;562.0;875.0;1 008;2 544;2 878;11 140;6 960;4 240;4 620
Число акций ао, млн;0.801;0.801;0.801;0.801;0.801;0.801;0.801;0.801;0.801;0.801
Цена акции ап, руб;478.0;434.0;639.0;879.0;2 149;2 542;7 680;4 800;3 370;3 850
Число акций ап, млн;0.267;0.267;0.267;0.267;0.267;0.267;0.267;0.267;0.267;0.267
Капитализация, млрд руб;0.70;0.57;0.87;1.04;2.61;2.98;11.0;6.85;4.29;4.73
EV, млрд руб;9.51;8.81;6.44;6.19;9.46;7.85;16.8;12.9;12.4;12.6
Баланс стоимость, млрд руб;-6.36;-7.80;-4.21;-6.10;-3.50;-0.49;4.30;6.83;8.95;8.60
EPS, руб;0.00;-1 823;4 446;-2 310;3 197;3 747;4 408;3 767;1 490;2 942
FCF/акцию, руб;0.00;1 236;3 185;1 711;-2 123;2 660;-1 224;1 301;-4 069;-3 449
BV/акцию, руб;-7 938;-9 744;-5 254;-7 623;-4 371;-611.9;5 370;8 535;11 175;10 739
Рентаб EBITDA, %;;2.9%;19.4%;0.0%;11.1%;13.6%;16.0%;13.0%;7.8%;11.1%
Чистая рентаб, %;;-6.9%;17.5%;-10.9%;9.2%;9.1%;10.9%;9.0%;4.1%;7.3%
Доходность FCF, %;0.0%;220.0%;364.0%;169.7%;-83.5%;92.4%;-11.0%;18.7%;-96.0%;-74.7%
ROE, %;0.0%;18.7%;-84.8%;30.3%;-73.1%;-612.2%;82.1%;44.1%;13.3%;27.4%
ROA, %;0.0%;-21.7%;42.9%;-21.9%;20.2%;21.1%;20.4%;14.6%;5.2%;9.9%
P/E;;-0.39;0.24;-0.56;1.02;0.99;3.11;2.27;3.60;2.01
P/FCF;;0.57;0.34;0.76;-1.54;1.40;-11.2;6.58;-1.32;-1.71
P/S;;0.03;0.04;0.06;0.09;0.09;0.34;0.21;0.15;0.15
P/BV;-0.11;-0.07;-0.21;-0.17;-0.75;-6.09;2.55;1.00;0.48;0.55
EV/EBITDA;;14.1;1.64;;3.05;1.75;3.24;2.98;5.55;3.53
Долг/EBITDA;;13.2;1.42;;2.21;1.08;1.13;1.40;3.63;2.21
Персонал, чел;;;;;;;3 284;3 064;3 170;
Производительность труда, млн руб/чел/год;;;;;;;9.88;10.9;9.07;
Расходы/чел/год, тыс.р;;;;;;;0.00;0.00;171.6;
R&D/CAPEX, %;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;;0%;0%;0%;1%;1%;1%;1%;0%;1%
