;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";13.07.2020;13.07.2020;30.04.2021;29.04.2022;15.04.2024;15.04.2024;30.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";123.8;112.4;113.6;176.3;168.0;161.5;172.1;161.8
"Операционная прибыль, млрд руб";10.5;0.307;6.26;10.7;8.82;16.1;2.76;1.47
"EBITDA, млрд руб";14.0;3.90;9.78;14.3;12.1;19.6;6.81;5.59
"Чистая прибыль, млрд руб";6.80;3.90;-0.490;6.49;12.9;4.18;-7.12;-10.6
"Операционный денежный поток, млрд руб";12.0;8.54;-3.76;0.045;-2.34;29.1;27.0;28.2
"CAPEX, млрд руб";0.363;0.270;0.300;1.24;1.80;6.89;4.14;4.07
"FCF, млрд руб";10.00;4.97;-6.82;4.00;0.100;25.6;8.44;4.86
"Див доход, ао, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";11.4;10.8;12.1;17.7;17.5;16.0;18.6;18.6
"Себестоимость, млрд руб";101.9;101.4;95.2;147.8;141.6;129.4;151.2;142.4
"Амортизация, млрд руб";;;;;3.3;3.4;4.0;4.1
"Расх на персонал, млрд руб";1.000;0.890;0.800;0.800;;0.998;1.15;
"Процентные расходы, млрд руб";6.06;8.98;8.95;10.0;11.4;16.3;24.5;28.3
"Активы, млрд руб";212.1;214.8;284.3;252.9;250.5;245.5;268.0;285.5
"Чистые активы, млрд руб";33.1;37.0;36.5;43.1;55.9;61.7;54.9;55.7
"Долг, млрд руб";160.0;150.1;216.7;185.5;170.2;155.7;151.9;150.6
"Наличность, млрд руб";0.200;0.470;0.022;4.73;0.360;0.650;0.148;0.016
"Чистый долг, млрд руб";159.8;149.6;216.7;180.8;169.8;155.1;151.8;150.6
"Цена акции ао, руб";"2 455";"2 530";"2 785";"4 720";"3 550";"9 310";"6 070";"4 460"
"Число акций ао, млн";3.16;3.16;3.16;3.16;3.16;3.16;3.16;3.16
"Капитализация, млрд руб";7.76;8.00;8.81;14.9;11.2;29.4;19.2;14.1
"EV, млрд руб";167.6;157.6;225.5;195.7;181.1;184.5;170.9;164.7
"Баланс стоимость, млрд руб";33.0;36.9;36.5;43.0;55.9;61.7;54.9;55.7
"EPS, руб";"2 151";"1 233";-155.0;"2 052";"4 073";"1 322";"-2 252";"-3 354"
"FCF/акцию, руб";"3 163";"1 572";"-2 156";"1 265";31.6;"8 090";"2 670";"1 537"
"BV/акцию, руб";"10 439";"11 673";"11 528";"13 610";"17 680";"19 516";"17 357";"17 605"
"Рентаб EBITDA, %";11.3%;3.5%;8.6%;8.1%;7.2%;12.1%;4.0%;3.5%
"Чистая рентаб, %";5.5%;3.5%;-0.4%;3.7%;7.7%;2.6%;-4.1%;-6.6%
"Доходность FCF, %";128.8%;62.1%;-77.4%;26.8%;0.9%;86.9%;44.0%;34.5%
"ROE, %";20.6%;10.5%;-1.3%;15.1%;23.0%;6.8%;-13.0%;-19.0%
"ROA, %";3.2%;1.8%;-0.2%;2.6%;5.1%;1.7%;-2.7%;-3.7%
P/E;1.14;2.05;-18.0;2.30;0.87;7.04;-2.69;-1.33
P/FCF;0.78;1.61;-1.29;3.73;112.3;1.15;2.27;2.90
P/S;0.06;0.07;0.08;0.08;0.07;0.18;0.11;0.09
P/BV;0.24;0.22;0.24;0.35;0.20;0.48;0.35;0.25
EV/EBITDA;12.0;40.4;23.1;13.7;14.9;9.41;25.1;29.5
Долг/EBITDA;11.4;38.4;22.2;12.7;14.0;7.91;22.3;26.9
"R&D/CAPEX, %";0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";0%;0%;0%;1%;1%;4%;2%;3%
