;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";08.05.2020;08.05.2020;01.04.2021;29.04.2022;02.05.2024;02.05.2024;30.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";5.15;4.30;6.20;6.37;4.36;3.23;;
"Операционная прибыль, млрд руб";1.52;-1.11;1.46;2.08;-5.51;-1.64;;
"EBITDA, млрд руб";5.22;1.61;2.51;2.59;;;;
"Чистая прибыль, млрд руб";-1.66;-0.460;1.06;2.70;-3.50;2.09;1.64;1.42
"Операционный денежный поток, млрд руб";0.288;1.77;1.06;3.01;;;;
"CAPEX, млрд руб";1.71;1.98;0.930;1.71;;;;
"FCF, млрд руб";1.02;0.422;0.743;1.30;;;;
"Див доход, ао, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";3.50;2.94;1.27;1.05;;;;0.011
"Себестоимость, млрд руб";5.15;2.47;3.50;3.24;3.20;1.67;;
"Расх на персонал, млрд руб";1.71;0.810;1.51;1.43;;;;
"Активы, млрд руб";17.4;17.1;17.4;20.5;16.2;17.9;19.7;19.7
"Чистые активы, млрд руб";16.0;15.6;16.4;19.1;15.6;17.7;19.3;19.7
"Долг, млрд руб";0.000;0.006;0.000;0.030;0.067;0.160;0.352;0.002
"Наличность, млрд руб";0.510;1.86;12.3;2.60;;5.05;5.55;4.92
"Чистый долг, млрд руб";-0.51;-1.85;-12.3;-2.57;0.07;-4.89;-5.19;-4.92
"Цена акции ао, руб";890.0;750.0;976.0;"1 097";926.0;"1 514";"1 901";"1 944"
"Число акций ао, млн";7.03;7.03;7.03;7.03;7.03;7.03;7.03;7.03
"Число акций ап, млн";0.413;0.413;0.413;0.413;0.413;0.413;0.413;0.413
"Капитализация, млрд руб";6.25;5.27;6.86;7.71;6.51;10.6;13.4;13.7
"EV, млрд руб";5.74;3.42;-5.47;5.14;6.57;5.75;8.16;8.74
"Баланс стоимость, млрд руб";15.3;15.0;15.7;17.7;15.6;17.7;19.3;19.7
"EPS, руб";-236.2;-65.5;150.8;384.2;-498.1;297.4;232.7;202.2
"FCF/акцию, руб";145.1;60.1;105.7;185.0;0.00;0.00;0.00;0
"BV/акцию, руб";"2 177";"2 139";"2 236";"2 512";"2 214";"2 512";"2 745";"2 798"
"Рентаб EBITDA, %";101.4%;37.4%;40.5%;40.7%;0.0%;0.0%;;
"Чистая рентаб, %";-32.2%;-10.7%;17.1%;42.4%;-80.3%;64.7%;;
"Доходность FCF, %";16.3%;8.0%;10.8%;16.9%;0.0%;0.0%;0.0%;0
"ROE, %";-10.4%;-3.0%;6.5%;14.2%;-22.5%;11.8%;8.5%;7.2%
"ROA, %";-9.5%;-2.7%;6.1%;13.2%;-21.6%;11.7%;8.3%;7.2%
P/E;-3.77;-11.5;6.47;2.86;-1.86;5.09;8.17;9.61
P/FCF;6.13;12.5;9.23;5.93;;;;
P/S;1.21;1.23;1.11;1.21;1.49;3.29;;
P/BV;0.41;0.35;0.44;0.44;0.42;0.60;0.69;0.69
EV/EBITDA;1.10;2.12;-2.18;1.98;;;;
Долг/EBITDA;-0.10;-1.15;-4.91;-0.99;;;;
"R&D/CAPEX, %";0.00%;0.00%;0.00%;0.00%;;;;
"CAPEX/Выручка, %";33%;46%;15%;27%;0%;0%;;
